0.089654,0.095990,0.089576,0.089306,0.099038,0.089033,0.097650,0.089747,0.088687,0.088258
0.088593,0.089491,0.089638,0.089372,0.088837,0.088755,0.088531,0.089230,0.089267,0.088878
0.106104,0.106375,0.106108,0.106584,0.106260,0.106220,0.106665,0.106019,0.106182,0.106853
0.121778,0.121765,0.121840,0.121769,0.121580,0.122547,0.122577,0.121968,0.121683,0.121680
0.145896,0.148361,0.144322,0.144261,0.147606,0.146961,0.145288,0.147243,0.144156,0.146136
0.116714,0.116711,0.116613,0.115862,0.116604,0.115994,0.116406,0.116245,0.116772,0.116807
0.018760,0.019825,0.018670,0.018475,0.019530,0.018670,0.019722,0.018620,0.018554,0.018480
0.142659,0.142462,0.142270,0.142436,0.142233,0.143122,0.142861,0.142611,0.142577,0.142271
0.116918,0.116895,0.116665,0.116417,0.116811,0.116654,0.117022,0.116570,0.116741,0.117442
0.054113,0.052988,0.056796,0.072226,0.062367,0.062707,0.088169,0.078525,0.070312,0.056669
0.079211,0.079917,0.078783,0.078677,0.080297,0.079946,0.078907,0.080099,0.078690,0.079569
0.091490,0.091596,0.091729,0.091401,0.091394,0.092343,0.091658,0.091826,0.091392,0.091610
0.131172,0.124138,0.132265,0.123403,0.129053,0.123427,0.126593,0.124186,0.121620,0.122422
0.080152,0.079960,0.079969,0.079967,0.080273,0.080492,0.079916,0.080417,0.079818,0.079788
0.046741,0.044498,0.045669,0.043954,0.044672,0.044276,0.046158,0.044866,0.046448,0.044312
0.142310,0.142596,0.142205,0.142224,0.141902,0.141516,0.142115,0.141661,0.142551,0.142175
0.128735,0.128529,0.128528,0.129402,0.129042,0.129149,0.129094,0.128442,0.128616,0.128493
0.079967,0.082925,0.079008,0.078358,0.079112,0.078882,0.080288,0.079148,0.078647,0.079076
0.085182,0.084112,0.085419,0.086458,0.082627,0.096408,0.087874,0.087160,0.085920,0.086545
0.063511,0.063347,0.063292,0.064134,0.063891,0.063717,0.064020,0.063216,0.063607,0.063262
-0.062862,0.072307,-0.074552,-0.079524,0.043953,-0.008040,0.066212,-0.062062,0.031873,-0.039594
0.011369,0.011331,0.011774,0.011508,0.011112,0.012120,0.011643,0.011939,0.011253,0.011380
0.094823,0.091666,0.095433,0.091392,0.094580,0.091586,0.092714,0.091581,0.090655,0.090780
0.113976,0.113817,0.113899,0.114571,0.113787,0.114723,0.114050,0.114154,0.113762,0.113843
0.079389,0.079547,0.079232,0.079558,0.079466,0.079390,0.079841,0.079112,0.079295,0.079924
0.098423,0.100269,0.097919,0.097554,0.097962,0.097706,0.098953,0.097689,0.097580,0.098066
0.068554,0.069108,0.068574,0.067945,0.068562,0.067971,0.068473,0.068299,0.068860,0.068676
0.114436,0.114711,0.115204,0.115070,0.114741,0.115352,0.115008,0.114624,0.114611,0.115183
0.039345,0.041907,0.037691,0.037582,0.041080,0.040475,0.038424,0.040621,0.037533,0.039566
0.159259,0.159415,0.159387,0.158530,0.158930,0.158585,0.158879,0.158752,0.159418,0.159352
0.104051,0.103799,0.103713,0.103456,0.103314,0.103120,0.103124,0.103878,0.103818,0.103416
0.054713,0.054548,0.055432,0.055221,0.054538,0.054607,0.054448,0.054691,0.054601,0.054828
